Row	Highlight	Display	Tag	Symbol	X	Y	Z
1	No	Show	1	C	-0.7153577	1.2039436	-0.0000197
2	No	Show	2	C	0.6849251	1.2215147	-0.0000035
3	No	Show	3	C	-1.4003390	-0.0175926	0.0000172
4	No	Show	4	C	1.4003395	0.0175406	0.0000245
5	No	Show	5	H	1.2160207	2.1684838	-0.0000004
6	No	Show	6	H	-1.2700296	2.1373027	-0.0000139
7	No	Show	7	C	-0.6849709	-1.2214893	0.0000014
8	No	Show	8	H	-2.4859858	-0.0311479	0.0000278
9	No	Show	9	C	0.7154025	-1.2039173	-0.0000230
10	No	Show	10	H	2.4859850	0.0312361	0.0000253
11	No	Show	11	H	-1.2159432	-2.1685276	0.0000051
12	No	Show	12	H	1.2699565	-2.1373457	-0.0000250
